time,N,H,I,N_stoch,H_stoch,I_stoch
23.3,9.897854618376039,63.993528055457716,21.252970101730366,9.783189606903624,63.94196316046107,21.248681622278458
23.400000000000002,9.703843662645676,63.84435010921035,21.23457513987878,9.59732040663005,63.79170300920164,21.230097570937954
23.5,9.515566608638188,63.687147857613176,21.214433230150764,9.404789663366175,63.63365199944113,21.209729013384223
23.6,9.332853986158455,63.52228218584709,21.19261545873242,9.21850878811738,63.467554962615026,21.187666134055142
23.700000000000003,9.155541322015141,63.35010211083086,21.16919022752642,9.028372876216523,63.29380485239474,21.16396735950798
23.8,8.983469044871493,63.17094501509243,21.144223320998602,8.856492900316807,63.11228544768162,21.13869247123955
23.900000000000002,8.81648223541154,62.985137260731236,21.117778089068114,8.684078814586373,62.92398723822065,21.111881905110025
24.0,8.654430681612425,62.7929940537086,21.089915407293898,8.520207981201636,62.72895130656776,21.083605378185638
24.1,8.497168569905591,62.59482020187272,21.060693923230787,8.359055987265833,62.527672192562164,21.05391727106027
24.200000000000003,8.344554274639743,62.39091063281347,21.030170206542632,8.207688138908852,62.32034826999983,21.022878237413604
24.3,8.196450300515465,62.18155053475433,20.99839877803639,8.050340644292325,62.10752919424528,20.9905419477268
24.400000000000002,8.052723441315893,61.96701496434331,20.965431967977114,7.899552016151643,61.888970934517445,20.956970729984317
24.5,7.913244388225225,61.74756980996944,20.931320223297742,7.7760319968177845,61.665058825979855,20.922201895528154
24.6,7.777887575560785,61.523472170070775,20.89611222638548,7.6346086615773325,61.43720983756094,20.886278559348217
24.700000000000003,7.646531148173141,61.294970432279555,20.85985490943791,7.498633720664529,61.2045681722642,20.849289614166985
24.8,7.519056889727293,61.06230444809709,20.822593519015363,7.385292370273136,60.96745417657479,20.811268609767993
24.900000000000002,7.395350064040197,60.825705922425485,20.78437171274671,7.282106857186097,60.7270442533227,20.77225324194489
25.0,7.275299329490191,60.58539862232206,20.745231559744184,7.156234013515048,60.48387915364878,20.732318689711175
25.1,7.158796628793618,60.34159864705731,20.705213648752178,7.039217982210735,60.236852062788046,20.69154388425272
25.200000000000003,7.045737105128899,60.0945146326325,20.664357159565522,6.930201629721305,59.9864444412707,20.64994486693067
25.3,6.936018993455354,59.84434801786069,20.622699914910196,6.833228824713845,59.733090078344055,20.607552356541156
25.400000000000002,6.829543543507492,59.591293231841696,20.58027842492062,6.7219905277866445,59.47742061879631,20.564406603688877
25.5,6.726214916754199,59.33553794606189,20.537127954020182,6.618779538647531,59.21874593899768,20.520563234576183
25.6,6.62594011206501,59.077263255264555,20.493282533786722,6.525132466990485,58.957497456540075,20.47603704629625
25.700000000000003,6.528628876046727,58.81664389635093,20.448775026277616,6.432128195070139,58.694179105324196,20.430855923256924
25.8,6.434193621988003,58.553848445934996,20.403637194452262,6.33678532933646,58.42884372402446,20.385060879836626
25.900000000000002,6.342549351265854,58.28903951179039,20.357899724055144,6.245835398714154,58.161394553251036,20.338685180226825
26.0,6.253613577858204,58.022373916598625,20.311592262629986,6.1497647321529945,57.89207237765423,20.291750110351572
26.1,6.167306254144535,57.7540028785133,20.264743456907187,6.063765447168785,57.620639890485336,20.2442811410977
26.200000000000003,6.083549696898974,57.48407219124303,20.217380990998105,5.980167701336514,57.347621763938925,20.19628792500163
26.3,6.002268520321021,57.21272238669843,20.169531629688613,5.9022310416070765,57.07315393136636,20.14779824693633
26.400000000000002,5.9233895653705355,56.940088906798806,20.12122124746209,5.8216519126425545,56.79753394413305,20.098838559490687
26.5,5.846841835803445,56.6663022586789,20.072474856610842,5.7499846267347845,56.52064120032385,20.0494407816613
26.6,5.77255643374729,56.39148817104134,20.023316640608176,5.683890065146323,56.242934019657355,19.999624439662618
26.700000000000003,5.700466496778003,56.1157677467897,19.97376998327582,5.614356384573176,55.9646991827181,19.949422545216223
26.8,5.630507139751344,55.83925760389449,19.923857498560043,5.548150395900185,55.685770010119576,19.898871874908796
26.900000000000002,5.562615393904436,55.562070023017625,19.87360105769451,5.482042067959508,55.40631982981339,19.847994087719766
27.0,5.496730152626779,55.28431307863221,19.823021811562143,5.417581339669498,55.12635873491323,19.796812623065712
27.1,5.43279211918556,55.00609076531662,19.772140215633453,5.3504903657794385,54.845974214547574,19.745345832952385
27.200000000000003,5.370743746463218,54.72750314380105,19.72097605721794,5.291977340272577,54.56503899069107,19.693611203725553
27.3,5.3105291761349225,54.448646488400186,19.669548483445617,5.232602725590806,54.28398746779779,19.64161698407979
27.400000000000002,5.252094212540598,54.169613348645896,19.617876009503668,5.18886300258769,54.002777729399355,19.589386639284047
27.5,5.195386270665017,53.890492674950245,19.5659765416429,5.143147882629287,53.72219310223475,19.536936604353958
27.6,5.1403542995376235,53.611370005054006,19.513867414234863,5.091293754017213,53.442128565343864,19.48431081996531
27.700000000000003,5.086948761798758,53.332327511615034,19.461565393867865,5.033728943861401,53.162271967391284,19.431539459634497
27.8,5.035121603451522,53.05344407406761,19.40908668903735,4.975681567652022,52.88233569491044,19.378633617578966
27.900000000000002,4.98482616938539,52.77479548449741,19.356446992910584,4.9339445701237015,52.60229641634393,19.325590336689892
28.0,4.936017181922257,52.49645449779341,19.303661488382925,4.8875880050298095,52.32297068068668,19.27240612898549
28.1,4.888650724222048,52.21849086982421,19.2507448511408,4.84399705839536,52.0441203741313,19.219110674275388
28.200000000000003,4.842684158839829,51.94097155575326,19.197711288784767,4.787643416057797,51.76587902330976,19.165717753576278
28.3,4.7980761026973955,51.663960769056416,19.144574548938714,4.749879749558887,51.48760240387955,19.11224346315628
28.400000000000002,4.7547864183448585,51.387520000361015,19.09134791953322,4.710257363639843,51.2102203673187,19.058674656389318
28.5,4.712776140537053,51.111708195904534,19.03804426210961,4.661926662437669,50.9336310318275,19.005037952945745
28.6,4.67200744757567,50.83658182553825,18.98467602218404,4.619086677834911,50.65739105463111,18.951350286960118
28.700000000000003,4.632443653085895,50.56219490036289,18.931255228533093,4.58218197154774,50.38177147797655,18.897607286345643
28.8,4.59404914961886,50.28859910913703,18.877793518242417,4.545048341569993,50.10706286177417,18.8438162304248
28.900000000000002,4.5567893696973565,50.01584391168469,18.824302152510462,4.50684903849527,49.833244650234924,18.78999445080929
29.0,4.520630784455784,49.743976539685285,18.770792014043884,4.4709890500640235,49.56025465565734,18.736154862749327
29.1,4.485540852344958,49.47304212046676,18.71727362844479,4.43526573369416,49.28820156160397,18.682305230829755
29.200000000000003,4.451487984561923,49.20308375960283,18.66375717761492,4.403172651730936,49.017082832672635,18.628456071142022
29.3,4.418441521965605,48.93414259522632,18.610252507869998,4.380384004565635,48.747070636932456,18.574615665409457
29.400000000000002,4.386371719203098,48.666257834686554,18.556769137349054,4.332739511130587,48.478619130791415,18.52079752031724
29.5,4.355249712854463,48.399466830385066,18.50331626618851,4.301259353196142,48.21046991504003,18.467030618801193
