t,N,H,I
71.8571857185719,3.37602069287133,17.1755620157042,10.3401580408232
71.8671867186719,3.37958821781829,17.1765432263075,10.3405061335483
71.8771877187719,3.37752613612489,17.1765347284602,10.34027171904
71.8871887188719,3.37606998440158,17.1779331850498,10.3361945985306
71.8971897189719,3.37564402626654,17.1776841074537,10.3384205339862
71.9071907190719,3.37488303691411,17.180730045572,10.3366789885669
71.9171917191719,3.3776285784864,17.1762814237368,10.3345585657564
71.9271927192719,3.37770847435383,17.1731382847274,10.3286834946225
71.9371937193719,3.37851423404393,17.1712187989481,10.3248206010807
71.947194719472,3.37873797189685,17.1735907855509,10.3234878763682
71.957195719572,3.38076869909696,17.1751743271708,10.3187357752911
71.967196719672,3.37757791175986,17.1750164451621,10.3193289988867
71.977197719772,3.38168054692629,17.1706217117964,10.3230442084835
71.987198719872,3.38121871276725,17.1725217276682,10.3222901806719
71.997199719972,3.38374630862204,17.1750229787724,10.3221811797679
72.007200720072,3.38678227158753,17.1742215746813,10.3209989008407
72.017201720172,3.38501671782911,17.1754769928537,10.3207172304536
72.027202720272,3.386395295074,17.1734606270733,10.3192179138472
72.037203720372,3.38795386885643,17.1720993208181,10.3205751529496
72.0472047204721,3.38946443258748,17.1736729622103,10.3208243538179
72.0572057205721,3.38745341138013,17.1763064369903,10.3239564464878
72.0672067206721,3.38267368544945,17.1764008251225,10.3235970106732
72.0772077207721,3.38408049541141,17.1803383373099,10.3239512849493
72.0872087208721,3.37949194682732,17.1803469819256,10.3228159378458
72.0972097209721,3.37409270709747,17.1818966720761,10.321872438486
72.1072107210721,3.37295184578141,17.1783990727263,10.3251992631525
72.1172117211721,3.37223072935205,17.179182391072,10.3248108223519
72.1272127212721,3.36983510318482,17.177617592048,10.3234547060957
72.1372137213721,3.37028855477167,17.1812839941624,10.3234990165693
72.1472147214722,3.36978266326729,17.1801585210207,10.3262404978403
72.1572157215722,3.37206080348011,17.1777266358166,10.3241994630623
72.1672167216722,3.37306915295223,17.1788474330471,10.3263918974974
72.1772177217722,3.37401545443738,17.1774028740625,10.3249877860265
72.1872187218722,3.37225657285585,17.1799096942907,10.3259851182731
72.1972197219722,3.36961653301884,17.1755124391089,10.3288737681551
72.2072207220722,3.36801746935089,17.1753609980268,10.3286825020763
72.2172217221722,3.36644502069052,17.1710182155856,10.3305715000958
72.2272227222722,3.36803170486494,17.1685163562947,10.3331442064677
72.2372237223722,3.36949772666703,17.1633922686713,10.3340114350442
72.2472247224723,3.36896032331214,17.1653717462178,10.3329420459326
72.2572257225723,3.36649462518235,17.1675674433295,10.3356826395482
72.2672267226723,3.36527517255601,17.1658619341558,10.3343959826384
72.2772277227723,3.36685634635226,17.1680885766057,10.3348991510619
72.2872287228723,3.36726361807098,17.1687529258439,10.3379534831171
72.2972297229723,3.36238086546428,17.1690992658071,10.3370575014543
72.3072307230723,3.36462019713294,17.1695360937419,10.3364557790896
72.3172317231723,3.36347857409969,17.1697095327217,10.3366104840759
72.3272327232723,3.36487096379963,17.169716624566,10.3360399571838
72.3372337233723,3.3662012473412,17.1686251495567,10.3340592130851
72.3472347234724,3.36542765202252,17.1675086178661,10.335075562596
72.3572357235724,3.36717276840353,17.1683551233284,10.3305822345658
72.3672367236724,3.36798409354543,17.1705340053008,10.3299096992683
72.3772377237724,3.36762847017777,17.1733035145625,10.3306850275017
72.3872387238724,3.36588541886533,17.1781130946637,10.3295047244964
72.3972397239724,3.36493206651816,17.1771650327544,10.3313596581106
72.4072407240724,3.35983015670827,17.1755140279923,10.3300063584503
72.4172417241724,3.36145512394667,17.176293484708,10.3302892545379
72.4272427242724,3.36486406126964,17.1769445836944,10.3292221007919
72.4372437243724,3.36069631755758,17.1770858637561,10.3317183970725
72.4472447244724,3.35901695488033,17.1750457179697,10.3307334486739
72.4572457245725,3.35816864198565,17.1773426002751,10.3293229176859
72.4672467246725,3.35626352678574,17.1767769548829,10.3294722761681
72.4772477247725,3.35855681663022,17.1760239479621,10.3321340204528
72.4872487248725,3.35701052357321,17.1782675059897,10.3290158130366
72.4972497249725,3.36203519407625,17.1771464005929,10.3312262097224
72.5072507250725,3.36383799080118,17.173154085366,10.3304898746952
72.5172517251725,3.35923065361676,17.1745510187034,10.3301121898035
72.5272527252725,3.35940472373366,17.1709402752592,10.3309453445696
72.5372537253725,3.36083557739961,17.1687981430596,10.330903153134
72.5472547254725,3.35901393551897,17.1654931382953,10.3319929555691
72.5572557255726,3.3590383878044,17.1626040398159,10.3309670097848
72.5672567256726,3.35752171849664,17.1624513136336,10.330480160233
72.5772577257726,3.35847916971691,17.1629770220796,10.3288796460307
72.5872587258726,3.35722297789046,17.1644660317227,10.327506691767
72.5972597259726,3.35981236952524,17.1623461542589,10.3283865901866
72.6072607260726,3.35881858660515,17.1612185495447,10.3275187387376
72.6172617261726,3.35674902303813,17.1569121423177,10.3295754395406
72.6272627262726,3.35784414443274,17.158650024709,10.3302242050805
72.6372637263726,3.35472499985338,17.1565603970722,10.3287835860925
72.6472647264726,3.35453373430803,17.1585584968027,10.3275890521024
72.6572657265727,3.35518373959754,17.1590555092623,10.3289701920007
72.6672667266727,3.35712718933195,17.1597422071264,10.3285738391979
72.6772677267727,3.35455365312559,17.1591045111192,10.3279449885213
72.6872687268727,3.35562079599123,17.1598585435186,10.3263065884599
72.6972697269727,3.35608767033913,17.1611070902335,10.3271249162722
72.7072707270727,3.35234378222531,17.1594376963875,10.3277820939709
72.7172717271727,3.35036768568502,17.1599172293725,10.3252371038862
72.7272727272727,3.35254386655688,17.1573026993784,10.324666183542
72.7372737273727,3.35175518976049,17.1546359017594,10.3250129335255
72.7472747274727,3.35465205493938,17.1550695075097,10.3254871144166
72.7572757275728,3.35564351424345,17.1524391623203,10.3268927965613
72.7672767276728,3.35666054302203,17.1515464786644,10.3258651445248
72.7772777277728,3.35613545975207,17.1523111771913,10.3242791212545
72.7872787278728,3.36011862317453,17.1516571497172,10.3232672393624
72.7972797279728,3.35801540598205,17.1499647391333,10.3238852197273
72.8072807280728,3.35698342005161,17.1471178790479,10.3243610994145
72.8172817281728,3.35874189375667,17.1448723720128,10.3227084832668
72.8272827282728,3.35604539268066,17.1431203323971,10.3266013604011
72.8372837283728,3.35615110806445,17.1448663469301,10.3249159722179
72.8472847284728,3.35609944879871,17.1459455774086,10.3231585634359
72.8572857285729,3.357606535662,17.1447104305987,10.3218280899985
72.8672867286729,3.36091340399402,17.1451176105073,10.3244122202192
72.8772877287729,3.35630278794235,17.1470329257959,10.3224451257839
72.8872887288729,3.35694578248924,17.1450237006545,10.3226117253868
72.8972897289729,3.35382266073769,17.1414219601564,10.3208880876381
72.9072907290729,3.35364476762524,17.1394803706818,10.3235816985953
72.9172917291729,3.35453916339742,17.1414895948487,10.324225497534
72.9272927292729,3.3504414178012,17.1386935366481,10.3224897792631
72.9372937293729,3.35088022900494,17.1373469182669,10.3215435695615
72.9472947294729,3.34649060931532,17.1402951607826,10.3229022785523
72.957295729573,3.34283465711023,17.1387771498492,10.3240722302379
72.967296729673,3.34615117049701,17.1370001962094,10.3247055666545
72.977297729773,3.34681513946138,17.136499447893,10.3221007251824
72.987298729873,3.34857987635006,17.1362981240845,10.3202756276318
72.997299729973,3.35055199546686,17.1342809566907,10.3168756385008
73.007300730073,3.34934697913956,17.1365027919044,10.3189936702092
73.017301730173,3.34835197632127,17.1349304021827,10.3212122710327
73.027302730273,3.34948670405078,17.1374933261146,10.320365230906
73.037303730373,3.34949556466811,17.1398192584756,10.319880484006
73.047304730473,3.34848621938015,17.1397055988371,10.3202219727299
73.0573057305731,3.34870532622529,17.1362987467228,10.316942346006
73.0673067306731,3.34799714616244,17.1350481410216,10.3201473071504
73.0773077307731,3.34383589977692,17.1337893156964,10.3191694905732
73.0873087308731,3.34177552293686,17.1269130766589,10.3181725601548
73.0973097309731,3.34036148107857,17.1255636702595,10.3232450324571
73.1073107310731,3.34097507080233,17.1229864823433,10.3246942403337
73.1173117311731,3.33937686992999,17.1216998336405,10.322843759693
73.1273127312731,3.33900944492667,17.122651852329,10.324740874975
73.1373137313731,3.3378718194179,17.1194846115986,10.3221001437189
73.1473147314731,3.33502640466799,17.1217614365271,10.3215525260629
73.1573157315732,3.33780036359498,17.1215752048671,10.3192845266543
73.1673167316732,3.33747942858431,17.1243137538661,10.318428537493
73.1773177317732,3.33516568959579,17.127802772778,10.321988464003
73.1873187318732,3.33509530915183,17.1263058512676,10.3239982763147
73.1973197319732,3.33484094397149,17.1276456608759,10.3248861811653
73.2073207320732,3.3329947250211,17.1225569533758,10.3249572013242
73.2173217321732,3.33007129020159,17.1221588259632,10.3225221874914
73.2273227322732,3.33402613045628,17.123411562449,10.3226825856082
73.2373237323732,3.33186347120678,17.1219811829894,10.3213366496442
73.2473247324732,3.33352699036079,17.1219592402785,10.3235827776359
73.2573257325733,3.33145794027079,17.1228427713707,10.3247728916283
73.2673267326733,3.33062719351819,17.1213013984106,10.3222057391314
73.2773277327733,3.33071049564357,17.120181056305,10.3234268959003
73.2873287328733,3.33191247616601,17.1157758783067,10.3237435898568
73.2973297329733,3.32872649882682,17.1154565038809,10.3247763790557
73.3073307330733,3.32859432948412,17.1145766255942,10.322297661039
73.3173317331733,3.32572060095356,17.1115784286771,10.3196107031721
73.3273327332733,3.32632527899348,17.1112381688625,10.3238779986719
73.3373337333733,3.32400443229522,17.1099764230917,10.3226068660371
73.3473347334733,3.32536184961193,17.1042901950327,10.3216704945963
73.3573357335734,3.32295787102459,17.1041157449653,10.3227730624965
73.3673367336734,3.32472050863185,17.1046781418524,10.321414190497
73.3773377337734,3.32395828896826,17.1048449215289,10.319812887577
73.3873387338734,3.32131651747451,17.1041752807266,10.3213860955017
73.3973397339734,3.32111551113972,17.1054769031683,10.3220977119993
73.4073407340734,3.32380059043426,17.1023134205475,10.3215098263161
73.4173417341734,3.32233339852658,17.1020288778328,10.3211352421759
73.4273427342734,3.32483802098379,17.1004397109084,10.320575380638
73.4373437343734,3.32620835786436,17.1022455511268,10.3170250199136
73.4473447344734,3.32610209741616,17.1019502789722,10.316689645396
73.4573457345735,3.32698164797167,17.1049845040038,10.3179367661178
73.4673467346735,3.32527716939762,17.1044928781117,10.3191179947902
73.4773477347735,3.32447447143594,17.1026115033743,10.3172372114351
73.4873487348735,3.32391300228306,17.1001406102445,10.3166543099729
73.4973497349735,3.32448021398,17.1009893451171,10.3181762524182
73.5073507350735,3.32640141032412,17.0989957446263,10.3184898149317
73.5173517351735,3.32206659168378,17.098390390448,10.3181407625143
73.5273527352735,3.32026132981924,17.095986553727,10.3209146554954
73.5373537353735,3.32022230254918,17.0938001803559,10.3198493256098
73.5473547354735,3.32284900605461,17.0965877606618,10.3227833100422
73.5573557355736,3.31952971539564,17.0947438398281,10.3251226573881
73.5673567356736,3.32380923376311,17.0929857904656,10.3213375078714
73.5773577357736,3.3268712889846,17.0930082065103,10.3201438709959
73.5873587358736,3.32817126548654,17.0908343091565,10.3183530447613
73.5973597359736,3.33098214398095,17.0904928540187,10.3171188311198
73.6073607360736,3.32898407146541,17.0880492975796,10.314751223018
73.6173617361736,3.32751520798063,17.0831844774944,10.317582795163
73.6273627362736,3.32735145263001,17.0829436219209,10.3193796939385
73.6373637363736,3.3279664705252,17.0788272173245,10.317837042384
73.6473647364736,3.32923688540817,17.0824651238948,10.3188683278016
73.6573657365737,3.32864921540367,17.0781218089863,10.3192691404741
73.6673667366737,3.32953445559402,17.07691593832,10.3190498369096
73.6773677367737,3.33257015956462,17.075410628752,10.3186379774597
73.6873687368737,3.33450457897269,17.0759106940346,10.3191447695784
73.6973697369737,3.33646086621487,17.0752316078414,10.317957476029
73.7073707370737,3.33397230530835,17.0735611109273,10.3151998020627
73.7173717371737,3.33192047824549,17.0722745744168,10.3171285162986
73.7273727372737,3.33020748257368,17.0710099793753,10.3162194572581
73.7373737373737,3.33063908735703,17.0702065566259,10.3173037662721
73.7473747374737,3.33287936624602,17.0669873768648,10.3164211888024
73.7573757375738,3.33334836548479,17.0656317363173,10.3181511875145
73.7673767376738,3.33147017908362,17.066808229599,10.3190082123604
73.7773777377738,3.32576453059963,17.0646348903341,10.3203602882309
73.7873787378738,3.32260687125079,17.06371344213,10.3166342360846
73.7973797379738,3.32012117520637,17.0621927633247,10.3163990943208
73.8073807380738,3.31737855510901,17.0641332781622,10.3158590105474
