node_id,tier,body_id,nx,ny,nz,tbars,body_size,soma_side
149,T2_mushroom_body,10308,26992.0,30124.0,42961.0,5676,7458254990,R
150,T2_mushroom_body,10421,73222.0,12964.0,23660.0,5636,5398513319,L
151,T2_mushroom_body,10356,65430.0,10900.0,32278.0,2180,2171020608,L
152,T2_mushroom_body,13377,50234.0,47830.0,33303.0,1073,1697044604,L
153,T2_mushroom_body,12396,30113.0,23294.0,36089.0,2282,2123026177,R
154,T2_mushroom_body,10420,50405.0,42194.0,37579.0,4197,5242397741,L
155,T2_mushroom_body,12194,45014.0,18772.0,35446.0,1775,2285677264,R
156,T2_mushroom_body,10902,30636.0,23960.0,35830.0,3212,3063626952,R
157,T2_mushroom_body,10549,50418.0,46416.0,34412.0,1681,3274587940,L
158,T2_mushroom_body,10645,52587.0,14061.0,33033.0,1695,1822296667,L
159,T2_mushroom_body,11282,37802.0,39727.0,35294.0,1790,2227125809,R
160,T2_mushroom_body,10510,49550.0,42484.0,38850.0,3346,5283050649,L
161,T2_mushroom_body,10928,42462.0,23244.0,38680.0,2579,3203323606,R
162,T2_mushroom_body,11245,54067.0,21143.0,36328.0,1696,2916677839,L
163,T2_mushroom_body,13586,57324.0,17260.0,34292.0,1378,1585408795,L
164,T2_mushroom_body,11343,41922.0,20237.0,33729.0,1602,1527930477,R
165,T2_mushroom_body,11474,85298.0,15929.0,32636.0,1284,2080855782,L
166,T2_mushroom_body,11665,28734.0,35618.0,28958.0,2476,2797126371,R
167,T2_mushroom_body,10205,48771.0,41920.0,37792.0,3198,7361044505,M
168,T2_mushroom_body,10143,78113.0,38696.0,36181.0,976,10269458423,L
169,T2_mushroom_body,12697,50092.0,15302.0,34066.0,1394,1982379015,L
170,T2_mushroom_body,531985,41815.0,12009.0,29941.0,2834,6144009996,R
171,T2_mushroom_body,10085,64900.0,24869.0,37642.0,9161,11921659126,L
172,T2_mushroom_body,10216,35903.0,37948.0,32201.0,726,7128478833,R
173,T2_mushroom_body,10283,34618.0,24870.0,36898.0,1504,6030359805,R
174,T2_mushroom_body,10466,61194.0,32920.0,36720.0,2908,3758806828,L
175,T2_mushroom_body,10898,45158.0,13164.0,29530.0,3360,4155489362,R
176,T2_mushroom_body,54716,65815.0,10302.0,31745.0,1403,1694017923,L
177,T2_mushroom_body,519940,46534.0,46316.0,35241.0,2212,1929992734,R
178,T2_mushroom_body,10802,69340.0,20044.0,31329.0,1250,2621332432,L
179,T2_mushroom_body,13141,35566.0,37869.0,32947.0,1178,1754468728,R
180,T2_mushroom_body,10893,29152.0,32164.0,42673.0,5875,4516207154,R
181,T2_mushroom_body,10688,36350.0,39478.0,30896.0,1447,2380645772,R
182,T2_mushroom_body,10323,35409.0,39398.0,22279.0,5090,5985351904,R
183,T2_mushroom_body,10305,59424.0,24438.0,36878.0,3161,4092229349,L
184,T2_mushroom_body,35930,61246.0,36260.0,34362.0,1471,1968198122,L
185,T2_mushroom_body,12093,46240.0,47961.0,32754.0,2043,2355002234,R
186,T2_mushroom_body,10809,48710.0,17410.0,35262.0,3599,4427604519,L
187,T2_mushroom_body,10641,58574.0,7906.0,30746.0,3389,4352757415,L
188,T2_mushroom_body,521026,46890.0,16356.0,35054.0,2127,2019308428,R
189,T2_mushroom_body,10443,50025.0,17640.0,32908.0,2939,5356392788,L
190,T2_mushroom_body,10078,12033.0,29915.0,28821.0,6654,12079424640,R
191,T2_mushroom_body,10943,30292.0,21417.0,36239.0,2616,4079712410,R
192,T2_mushroom_body,11580,70870.0,16656.0,31160.0,2850,2332944255,L
193,T2_mushroom_body,10831,47150.0,46260.0,33973.0,3096,3362668485,R
194,T2_mushroom_body,10282,71596.0,34117.0,23609.0,3541,4963698537,L
195,T2_mushroom_body,10400,71809.0,17466.0,30179.0,2989,6566597361,L
196,T2_mushroom_body,11718,39012.0,20465.0,36087.0,2087,2418268157,R
197,T2_mushroom_body,10676,62809.0,39945.0,32452.0,938,3968836324,L
198,T2_mushroom_body,11041,66070.0,37259.0,39388.0,5808,7778272885,L
199,T2_mushroom_body,187792,33211.0,30127.0,37279.0,20330,15362097044,R
200,T2_mushroom_body,531862,59649.0,20117.0,36474.0,1669,3168641779,L
201,T2_mushroom_body,12880,47700.0,17419.0,34323.0,1364,1860838863,R
202,T2_mushroom_body,10507,49542.0,47250.0,30646.0,1502,5191435301,L
203,T2_mushroom_body,11856,48116.0,47001.0,33827.0,1521,2187513718,R
204,T2_mushroom_body,10917,24043.0,22667.0,23920.0,3500,4153788480,R
205,T2_mushroom_body,11689,33664.0,32698.0,38451.0,3272,2956435017,R
206,T2_mushroom_body,10540,23999.0,23161.0,26698.0,6641,10098822637,R
207,T2_mushroom_body,511869,37404.0,24404.0,36744.0,2168,2373658469,R
208,T2_mushroom_body,11734,53106.0,15949.0,32882.0,2484,3525133927,L
209,T2_mushroom_body,10638,45673.0,43317.0,37727.0,4083,5125198296,R
210,T2_mushroom_body,11590,63624.0,21632.0,33356.0,1245,2257049419,L
211,T2_mushroom_body,532198,48556.0,43018.0,37620.0,2739,6376394495,M
212,T2_mushroom_body,10041,50259.0,48210.0,25728.0,7607,7154631955,L
213,T2_mushroom_body,18264,54892.0,19618.0,33614.0,1483,1532433653,L
214,T2_mushroom_body,11643,62570.0,39262.0,33396.0,1282,2820391058,L
215,T2_mushroom_body,525452,65634.0,20290.0,35415.0,2639,5493808917,L
216,T2_mushroom_body,524091,68604.0,17866.0,34292.0,1650,3006217703,L
217,T2_mushroom_body,12253,73406.0,22654.0,25294.0,3872,3267334335,L
218,T2_mushroom_body,12094,26530.0,19560.0,31526.0,1315,2344029596,R
219,T2_mushroom_body,10407,61758.0,38174.0,33660.0,1424,2038258549,L
220,T2_mushroom_body,10750,45786.0,16190.0,35170.0,2143,2950623292,R
221,T2_mushroom_body,12505,23248.0,12874.0,30296.0,2395,2178309959,R
222,T2_mushroom_body,12084,33107.0,10122.0,31651.0,1272,2426908010,R
223,T2_mushroom_body,10734,62488.0,37648.0,30332.0,1549,4687677671,L
